Dalvik/1.6.0(Linux; U; Android 4.2.2;CPH2099 Build/LR5KV5D2)[FBAN/FB4A;FBAV/110.0.0.24.63FBBV/4476684FBDM={density=3.0,width=522,height=1625}FBLC/ja_JPFBRV/9239175FBCR/T-MobileFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2099FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;Nova 5T Build/92F4KV4H)[FBAN/FB4A;FBAV/107.0.0.97.6FBBV/7699980FBDM={density=3.0,width=904,height=1786}FBLC/fr_FRFBRV/9497945FBCR/T-MobileFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Nova 5TFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;Mi 10T Pro Build/XWT2MHSC)[FBAN/FB4A;FBAV/114.0.0.84.93FBBV/5170832FBDM={density=3.0,width=572,height=1869}FBLC/ko_KRFBRV/5410757FBCR/OrangeFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 10T ProFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;CPH2099 Build/ZNMY3HQY)[FBAN/FB4A;FBAV/94.0.0.42.62FBBV/4578957FBDM={density=3.0,width=655,height=1726}FBLC/es_ESFBRV/3866780FBCR/AT&TFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2099FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;Mi 10T Pro Build/TOYDUTMF)[FBAN/FB4A;FBAV/116.0.0.6.70FBBV/4984593FBDM={density=3.0,width=612,height=1347}FBLC/pt_BRFBRV/4559128FBCR/SprintFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 10T ProFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;ASUS_Z007 Build/PQJ6D216)[FBAN/FB4A;FBAV/96.0.0.40.14FBBV/1765908FBDM={density=3.0,width=897,height=1564}FBLC/ko_KRFBRV/3812889FBCR/TelecomFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z007FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;Pixel 6 Build/6J8V6EZ7)[FBAN/FB4A;FBAV/82.0.0.62.37FBBV/6540855FBDM={density=3.0,width=807,height=1506}FBLC/zh_TWFBRV/250322FBCR/Boost MobileFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;Moto G Play Build/41U40ZBA)[FBAN/FB4A;FBAV/116.0.0.82.79FBBV/4663875FBDM={density=3.0,width=814,height=1036}FBLC/ko_KRFBRV/6401385FBCR/T-MobileFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PlayFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;Xperia 10 Build/JTOJ0H85)[FBAN/FB4A;FBAV/96.0.0.87.25FBBV/8219973FBDM={density=3.0,width=601,height=1072}FBLC/es_ESFBRV/8801076FBCR/TelecomFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;V2072 Build/Y3NQ8TMJ)[FBAN/FB4A;FBAV/89.0.0.20.3FBBV/4469319FBDM={density=3.0,width=796,height=1911}FBLC/de_DEFBRV/801962FBCR/SprintFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2072FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;P30 Pro Build/Z5QN4SPP)[FBAN/FB4A;FBAV/89.0.0.69.79FBBV/573048FBDM={density=3.0,width=907,height=1802}FBLC/de_DEFBRV/206234FBCR/VerizonFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P30 ProFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;V2007 Build/8RZVFJNN)[FBAN/FB4A;FBAV/90.0.0.35.87FBBV/6583274FBDM={density=3.0,width=612,height=737}FBLC/zh_TWFBRV/6862124FBCR/VodafoneFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;Mi 9T Build/8T7HJO4T)[FBAN/FB4A;FBAV/102.0.0.20.64FBBV/8527736FBDM={density=3.0,width=672,height=1816}FBLC/zh_CNFBRV/7720969FBCR/T-MobileFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 9TFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;V2010 Build/FQUW1WY3)[FBAN/FB4A;FBAV/87.0.0.13.95FBBV/1547423FBDM={density=3.0,width=489,height=1483}FBLC/ko_KRFBRV/3655786FBCR/VerizonFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2010FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;V2010 Build/NZKTIVQT)[FBAN/FB4A;FBAV/105.0.0.48.29FBBV/9878240FBDM={density=3.0,width=384,height=1316}FBLC/zh_CNFBRV/9118704FBCR/O2FBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2010FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;SM-N975F Build/8M95FXRU)[FBAN/FB4A;FBAV/95.0.0.85.100FBBV/8755085FBDM={density=3.0,width=643,height=1720}FBLC/en_USFBRV/553747FBCR/Boost MobileFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-N975FFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;CPH2127 Build/F7SRQW9V)[FBAN/FB4A;FBAV/117.0.0.53.67FBBV/4143601FBDM={density=3.0,width=776,height=1742}FBLC/zh_TWFBRV/2268931FBCR/VodafoneFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2127FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 4.2.2;Nova 5T Build/X51J2GP2)[FBAN/FB4A;FBAV/117.0.0.72.12FBBV/3426203FBDM={density=3.0,width=997,height=1816}FBLC/en_USFBRV/3827533FBCR/OrangeFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Nova 5TFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;Moto G Fast Build/CZ6B46FL)[FBAN/FB4A;FBAV/114.0.0.48.29FBBV/1099056FBDM={density=3.0,width=944,height=1536}FBLC/it_ITFBRV/6050456FBCR/O2FBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G FastFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;LM-G820 Build/RXFK54UF)[FBAN/FB4A;FBAV/86.0.0.68.100FBBV/2962995FBDM={density=3.0,width=474,height=1501}FBLC/zh_CNFBRV/4277207FBCR/SprintFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-G820FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
